2022-11-20 00:24:17,031  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.52] 
2022-11-20 00:24:17,089  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2022-11-20 00:24:17,089  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 1260 ms 
2022-11-20 00:24:17,310  INFO | restartedMain | org.mongodb.driver.cluster                             | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} 
2022-11-20 00:24:17,360  INFO | cluster-ClusterId{value='6379e4314bf4d02785534aba', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:1, serverValue:94}] to localhost:27017 
2022-11-20 00:24:17,360  INFO | cluster-rtt-ClusterId{value='6379e4314bf4d02785534aba', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:2, serverValue:95}] to localhost:27017 
2022-11-20 00:24:17,360  INFO | cluster-ClusterId{value='6379e4314bf4d02785534aba', description='null'}-localhost:27017 | org.mongodb.driver.cluster                             | Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=12506562} 
2022-11-20 00:24:17,419  INFO | restartedMain | o.s.b.devtools.autoconfigure.OptionalLiveReloadServer  | LiveReload server is running on port 35729 
2022-11-20 00:24:17,791  INFO | restartedMain | o.s.boot.actuate.endpoint.web.EndpointLinksResolver    | Exposing 1 endpoint(s) beneath base path '/actuator' 
2022-11-20 00:24:18,084  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Starting ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:24:18,093  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat started on port(s): 8080 (http) with context path '' 
2022-11-20 00:24:18,316  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Started JobPortalApplication in 7.837 seconds (JVM running for 8.21) 
2022-11-20 00:24:22,753  INFO | http-nio-8080-exec-2 | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2022-11-20 00:24:22,753  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Initializing Servlet 'dispatcherServlet' 
2022-11-20 00:24:22,754  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Completed initialization in 1 ms 
2022-11-20 00:24:22,814  INFO | http-nio-8080-exec-2 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:3, serverValue:96}] to localhost:27017 
2022-11-20 00:24:34,018  INFO | SpringApplicationShutdownHook | org.mongodb.driver.connection                          | Closed connection [connectionId{localValue:3, serverValue:96}] to localhost:27017 because the pool has been closed. 
2022-11-20 00:25:36,696  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Starting JobPortalApplication using Java 17.0.5 on aum264s-MacBook-Pro.local with PID 70136 (/Users/sabrina/Downloads/job_portal/target/classes started by sabrina in /Users/sabrina/Downloads/job_portal) 
2022-11-20 00:25:36,697  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | No active profile set, falling back to default profiles: default 
2022-11-20 00:25:36,730  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-11-20 00:25:36,730  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-11-20 00:25:37,113  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2022-11-20 00:25:37,189  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 74 ms. Found 3 MongoDB repository interfaces. 
2022-11-20 00:25:37,649  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 8080 (http) 
2022-11-20 00:25:37,655  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:25:37,655  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2022-11-20 00:25:37,655  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.52] 
2022-11-20 00:25:37,706  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2022-11-20 00:25:37,706  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 975 ms 
2022-11-20 00:25:37,870  INFO | restartedMain | org.mongodb.driver.cluster                             | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} 
2022-11-20 00:25:37,914  INFO | cluster-ClusterId{value='6379e481f632726d200eaea0', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:1, serverValue:98}] to localhost:27017 
2022-11-20 00:25:37,915  INFO | cluster-rtt-ClusterId{value='6379e481f632726d200eaea0', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:2, serverValue:97}] to localhost:27017 
2022-11-20 00:25:37,915  INFO | cluster-ClusterId{value='6379e481f632726d200eaea0', description='null'}-localhost:27017 | org.mongodb.driver.cluster                             | Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14563767} 
2022-11-20 00:25:37,964  INFO | restartedMain | o.s.b.devtools.autoconfigure.OptionalLiveReloadServer  | LiveReload server is running on port 35729 
2022-11-20 00:25:38,279  INFO | restartedMain | o.s.boot.actuate.endpoint.web.EndpointLinksResolver    | Exposing 1 endpoint(s) beneath base path '/actuator' 
2022-11-20 00:25:38,517  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Starting ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:25:38,526  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat started on port(s): 8080 (http) with context path '' 
2022-11-20 00:25:38,751  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Started JobPortalApplication in 7.334 seconds (JVM running for 7.604) 
2022-11-20 00:26:30,081  INFO | http-nio-8080-exec-2 | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2022-11-20 00:26:30,081  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Initializing Servlet 'dispatcherServlet' 
2022-11-20 00:26:30,082  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Completed initialization in 1 ms 
2022-11-20 00:26:30,179  INFO | http-nio-8080-exec-2 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:3, serverValue:99}] to localhost:27017 
2022-11-20 00:34:10,974  WARN | http-nio-8080-exec-2 | o.s.w.s.mvc.support.DefaultHandlerExceptionResolver    | Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported] 
2022-11-20 00:34:24,990  INFO | SpringApplicationShutdownHook | org.mongodb.driver.connection                          | Closed connection [connectionId{localValue:3, serverValue:99}] to localhost:27017 because the pool has been closed. 
2022-11-20 00:34:35,929  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Starting JobPortalApplication using Java 17.0.5 on aum264s-MacBook-Pro.local with PID 70185 (/Users/sabrina/Downloads/job_portal/target/classes started by sabrina in /Users/sabrina/Downloads/job_portal) 
2022-11-20 00:34:35,931  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | No active profile set, falling back to default profiles: default 
2022-11-20 00:34:35,977  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-11-20 00:34:35,977  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-11-20 00:34:36,485  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2022-11-20 00:34:36,602  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 114 ms. Found 3 MongoDB repository interfaces. 
2022-11-20 00:34:37,149  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 8080 (http) 
2022-11-20 00:34:37,158  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:34:37,158  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2022-11-20 00:34:37,159  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.52] 
2022-11-20 00:34:37,231  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2022-11-20 00:34:37,232  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 1255 ms 
2022-11-20 00:34:37,434  INFO | restartedMain | org.mongodb.driver.cluster                             | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} 
2022-11-20 00:34:37,502  INFO | cluster-ClusterId{value='6379e69de5eb5e28ab648cae', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:2, serverValue:114}] to localhost:27017 
2022-11-20 00:34:37,502  INFO | cluster-rtt-ClusterId{value='6379e69de5eb5e28ab648cae', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:1, serverValue:115}] to localhost:27017 
2022-11-20 00:34:37,502  INFO | cluster-ClusterId{value='6379e69de5eb5e28ab648cae', description='null'}-localhost:27017 | org.mongodb.driver.cluster                             | Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=19802716} 
2022-11-20 00:34:37,584  INFO | restartedMain | o.s.b.devtools.autoconfigure.OptionalLiveReloadServer  | LiveReload server is running on port 35729 
2022-11-20 00:34:37,921  INFO | restartedMain | o.s.boot.actuate.endpoint.web.EndpointLinksResolver    | Exposing 1 endpoint(s) beneath base path '/actuator' 
2022-11-20 00:34:38,188  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Starting ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:34:38,198  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat started on port(s): 8080 (http) with context path '' 
2022-11-20 00:34:38,444  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Started JobPortalApplication in 7.824 seconds (JVM running for 8.176) 
2022-11-20 00:34:59,303  INFO | http-nio-8080-exec-2 | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2022-11-20 00:34:59,303  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Initializing Servlet 'dispatcherServlet' 
2022-11-20 00:34:59,305  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Completed initialization in 1 ms 
2022-11-20 00:34:59,351  INFO | http-nio-8080-exec-2 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:3, serverValue:116}] to localhost:27017 
2022-11-20 00:35:44,822 ERROR | http-nio-8080-exec-3 | com.wju.job_portal.controller.UserController           | Exception when create a new User: Cannot invoke "String.getBytes()" because the return value of "com.wju.job_portal.document.User.getPassword()" is null  
2022-11-20 00:36:08,295  WARN | http-nio-8080-exec-5 | org.springframework.web.servlet.PageNotFound           | No mapping for POST /v1/postPosition 
2022-11-20 00:46:01,993  WARN | http-nio-8080-exec-3 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /v1/getUserByPosition/6379db60e6bcc36b8136760e 
2022-11-20 00:46:27,948  WARN | http-nio-8080-exec-4 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /v1/getUserByPosition/6379db60e6bcc36b8136760e 
2022-11-20 00:46:40,064  WARN | http-nio-8080-exec-5 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /v1/getUserByPosition/6379db60e6bcc36b8136760e 
2022-11-20 00:49:10,579  INFO | SpringApplicationShutdownHook | org.mongodb.driver.connection                          | Closed connection [connectionId{localValue:3, serverValue:116}] to localhost:27017 because the pool has been closed. 
2022-11-20 00:49:21,878  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Starting JobPortalApplication using Java 17.0.5 on aum264s-MacBook-Pro.local with PID 70224 (/Users/sabrina/Downloads/job_portal/target/classes started by sabrina in /Users/sabrina/Downloads/job_portal) 
2022-11-20 00:49:21,880  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | No active profile set, falling back to default profiles: default 
2022-11-20 00:49:21,921  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-11-20 00:49:21,921  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-11-20 00:49:22,434  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2022-11-20 00:49:22,572  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 135 ms. Found 3 MongoDB repository interfaces. 
2022-11-20 00:49:23,152  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 8080 (http) 
2022-11-20 00:49:23,161  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:49:23,161  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
